# Fields: PRG CRC, Name, Genie Code (HEX), Pro Action Rocky Code (HEX), Address (HEX), Value (HEX), Compare Value (HEX), IsPrgOffset, Description
DF58FC5A;10-Yard Fight (USA, Europe);ZEEXIPIE;;;;;0;Your team runs faster
E6A477B2;3-D WorldRunner (USA);SXUPZGVG;;;;;0;Infinite time
E6A477B2;3-D WorldRunner (USA);NNXOYGEK;;;;;0;Slow down timer
E6A477B2;3-D WorldRunner (USA);AVXOYGEG;;;;;0;Speed up timer
E6A477B2;3-D WorldRunner (USA);OXUONISX;;;;;0;Autofire
E6A477B2;3-D WorldRunner (USA);AEUOVIGA;;;;;0;Start with and keep laser missiles
E6A477B2;3-D WorldRunner (USA);PEUPPTLA;;;;;0;Start with 1 life (1 of 2)
E6A477B2;3-D WorldRunner (USA);PLVOLTLL;;;;;0;Start with 1 life (2 of 2)
E6A477B2;3-D WorldRunner (USA);TEUPPTLA;;;;;0;Start with 6 lives (1 of 2)
E6A477B2;3-D WorldRunner (USA);TLVOLTLL;;;;;0;Start with 6 lives (2 of 2)
E6A477B2;3-D WorldRunner (USA);PEUPPTLE;;;;;0;Start with 9 lives (1 of 2)
E6A477B2;3-D WorldRunner (USA);PLVOLTLU;;;;;0;Start with 9 lives (2 of 2)
E6A477B2;3-D WorldRunner (USA);XZEAUOOZ;;;;;0;Start on world XX (1 of 3)
E6A477B2;3-D WorldRunner (USA);VAEASPSA;;;;;0;Start on world XX (2 of 3)
E6A477B2;3-D WorldRunner (USA);PAEAKPAA;;;;;0;Start on world 2 (3 of 3)
E6A477B2;3-D WorldRunner (USA);ZAEAKPAA;;;;;0;Start on world 3 (3 of 3)
E6A477B2;3-D WorldRunner (USA);LAEAKPAA;;;;;0;Start on world 4 (3 of 3)
E6A477B2;3-D WorldRunner (USA);GAEAKPAA;;;;;0;Start on world 5 (3 of 3)
E6A477B2;3-D WorldRunner (USA);IAEAKPAA;;;;;0;Start on world 6 (3 of 3)
E6A477B2;3-D WorldRunner (USA);TAEAKPAA;;;;;0;Start on world 7 (3 of 3)
E6A477B2;3-D WorldRunner (USA);;;003A;05;;0;No enemies or pitfalls
49F745E0;720 Degrees (USA);SZUYASVK;;;;;0;Infinite continues
49F745E0;720 Degrees (USA);PEXKLZLE;;;;;0;9 continues
49F745E0;720 Degrees (USA);TEXKLZLA;;;;;0;6 continues
49F745E0;720 Degrees (USA);PEXKLZLA;;;;;0;No continues instead of 2
49F745E0;720 Degrees (USA);GEKKYZAA;;;;;0;Start with all equipment
49F745E0;720 Degrees (USA);ZEKKYZAA;;;;;0;Start with half equipment
49F745E0;720 Degrees (USA);XVXGGXSX;;;;;0;Start on level XX (1 of 2)
49F745E0;720 Degrees (USA);OXXGIXTE;;;;;0;Start on level XX (2 of 2)
49F745E0;720 Degrees (USA);ZEXGTZZA;;;;;0;Start on level 2 (3 of 3)
49F745E0;720 Degrees (USA);LEXGTZZA;;;;;0;Start on level 3 (3 of 3)
49F745E0;720 Degrees (USA);GEXGTZZA;;;;;0;Start on level 4 (3 of 3)
49F745E0;720 Degrees (USA);;;0572;19;;0;Infinite time
49F745E0;720 Degrees (USA);;;0573;09;;0;Infinite time (one's digit) in half-pipe
49F745E0;720 Degrees (USA);;;0574;09;;0;Infinite time (ten's digit) in half-pipe
CB475567;8 Eyes (USA);EIUUSLEY;;;;;0;Invincibility - Orin
CB475567;8 Eyes (USA);EINGVPEY;;;;;0;Invincibility - Cutrus
CB475567;8 Eyes (USA);SXOUSUSE;;;;;0;Infinite health - Orin
CB475567;8 Eyes (USA);SXNGNOSE;;;;;0;Infinite health - Cutrus
CB475567;8 Eyes (USA);GXOUSUSE;;;;;0;Most attacks won't damage Orin
CB475567;8 Eyes (USA);GXNGNOSE;;;;;0;Most attacks won't damage Cutrus
CB475567;8 Eyes (USA);AGVXGXYZ;;;;;0;Start with more health - Orin
CB475567;8 Eyes (USA);AGVXIXYZ;;;;;0;Start with more health - Cutrus
CB475567;8 Eyes (USA);SAOVUTVA;;;;;0;Start with all weapons
CB475567;8 Eyes (USA);YGVXTXYX;;;;;0;Start with max ammo
CB475567;8 Eyes (USA);SXSLKVSE;;;;;0;Infinite ammo
CB475567;8 Eyes (USA);YZVXTZAE;;;;;0;Start with some item power
CB475567;8 Eyes (USA);GXSLKVSE;;;;;0;Never lose item power once gained
CB475567;8 Eyes (USA);VTOVNTVA;;;;;0;Start with Dagger
CB475567;8 Eyes (USA);;;007F;02;;0;Have Boomerang
CB475567;8 Eyes (USA);;;007F;04;;0;Have Ice Ball
CB475567;8 Eyes (USA);;;007F;08;;0;Have Power Ball
CB475567;8 Eyes (USA);;;007F;33;;0;Have Dagger, Boomerang, Molotov Cocktail, Hand Gun
CB475567;8 Eyes (USA);;;009D;FA;;0;Doors never close once opened
CB475567;8 Eyes (USA);;;030E;10;;0;Invincibility - Orin (blinking)
CB475567;8 Eyes (USA);;;032E;10;;0;Invincibility - Cutrus (blinking)
CB475567;8 Eyes (USA);;;034E;00;;0;Bosses have no invulnerability time
CB475567;8 Eyes (USA);;;034F;00;;0;Bosses defeated instantly
CB475567;8 Eyes (USA);;;0594;4F;;0;Infinite health - Orin (alt)
CB475567;8 Eyes (USA);;;0595;4F;;0;Infinite health - Cutrus (alt)
CB475567;8 Eyes (USA);;;0596;4F;;0;Infinite item power
DEE059E7;Abadox - The Deadly Inner War (USA);PEIGPN;;;;;0;Infinite lives (lives never decrease)
DEE059E7;Abadox - The Deadly Inner War (USA);VVIGAY;;;;;0;Infinite lives (lives increase when you die)
DEE059E7;Abadox - The Deadly Inner War (USA);AVVTXYSZ;;;;;0;Invincible against touching enemies
DEE059E7;Abadox - The Deadly Inner War (USA);AEXSLIEG;;;;;0;Invincible against walls (does not stop music)
DEE059E7;Abadox - The Deadly Inner War (USA);EIESEIEY;;;;;0;Invincibility (1 of 2)
DEE059E7;Abadox - The Deadly Inner War (USA);EYESKTEI;;;;;0;Invincibility (2 of 2)
DEE059E7;Abadox - The Deadly Inner War (USA);ESSYIPEP;;;;;0;Hit anywhere (1 of 4)
DEE059E7;Abadox - The Deadly Inner War (USA);EUNNZPEI;;;;;0;Hit anywhere (2 of 4)
DEE059E7;Abadox - The Deadly Inner War (USA);EUUYPPEP;;;;;0;Hit anywhere (3 of 4)
DEE059E7;Abadox - The Deadly Inner War (USA);GZOYAZAL;;;;;0;Hit anywhere (4 of 4)
DEE059E7;Abadox - The Deadly Inner War (USA);ZANGKGPA;;;;;0;Start on level 2
DEE059E7;Abadox - The Deadly Inner War (USA);LANGKGPA;;;;;0;Start on level 3
DEE059E7;Abadox - The Deadly Inner War (USA);IANGKGPA;;;;;0;Start on level 4
DEE059E7;Abadox - The Deadly Inner War (USA);TANGKGPA;;;;;0;Start on level 6
DEE059E7;Abadox - The Deadly Inner War (USA);;;0086;00;;0;Invincibility (music stops if you touch a wall) (1 of 2)
DEE059E7;Abadox - The Deadly Inner War (USA);;;008A;00;;0;Invincibility (music stops if you touch a wall) (2 of 2)
DEE059E7;Abadox - The Deadly Inner War (USA);;;008B;01;;0;Speed up level 1
DEE059E7;Abadox - The Deadly Inner War (USA);;;008B;02;;0;Speed up level 2
DEE059E7;Abadox - The Deadly Inner War (USA);;;008B;03;;0;Speed up level 3
2E1790A4;Action in New York (Europe);AVISVG;;;;;0;Invincibility
2E1790A4;Action in New York (Europe);EIKVVIEY;;;;;0;One hit kills
2E1790A4;Action in New York (Europe);GXUIZIAI;;;;;0;No enemies
9786D132;Addams Family, The (USA);SXPATK;;;;;0;Invincibility
9786D132;Addams Family, The (USA);PEVGGALA;;;;;0;Start with 1 life - 1st game only
9786D132;Addams Family, The (USA);TEVGGALA;;;;;0;Start with 6 lives - 1st game only
9786D132;Addams Family, The (USA);PEVGGALE;;;;;0;Start with 9 lives - 1st game only
9786D132;Addams Family, The (USA);GXSVAUVK;;;;;0;Infinite lives
9786D132;Addams Family, The (USA);GXKKZSVK;;;;;0;Infinite life
9786D132;Addams Family, The (USA);GXEVLVVK;;;;;0;Infinite Things
9786D132;Addams Family, The (USA);AINEGYEI;;;;;0;Walk through walls (1 of 2)
9786D132;Addams Family, The (USA);ASEAYYEI;;;;;0;Walk through walls (2 of 2)
9786D132;Addams Family, The (USA);GXEZGTEP;;;;;0;Get items from anywhere - from above
9786D132;Addams Family, The (USA);GXEXLTEL;;;;;0;Get items from anywhere - from below
9786D132;Addams Family, The (USA);GXOZITEP;;;;;0;Get items from anywhere - from the right
9786D132;Addams Family, The (USA);GXOXYTEP;;;;;0;Get items from anywhere - from the left
9786D132;Addams Family, The (USA);ELEZOGEP;;;;;0;No Piranha Plant enemies
9786D132;Addams Family, The (USA);PEKGTAAA;;;;;0;Start in the tree
9786D132;Addams Family, The (USA);ZEKGTAAA;;;;;0;Start in the crypt
9786D132;Addams Family, The (USA);LEKGTAAA;;;;;0;Start in the hallway
9786D132;Addams Family, The (USA);AEKGTAAE;;;;;0;Start in Fester's room
9786D132;Addams Family, The (USA);PEKGTAAE;;;;;0;Start in Pugsly's room
9786D132;Addams Family, The (USA);ZEKGTAAE;;;;;0;Start in the toy room
9786D132;Addams Family, The (USA);LEKGTAAE;;;;;0;Start in Wednesday's room
9786D132;Addams Family, The (USA);GEKGTAAE;;;;;0;Start in the attic
9786D132;Addams Family, The (USA);YEKGTAAE;;;;;0;Start in a secret room
9786D132;Addams Family, The (USA);AOKGTAAA;;;;;0;Start in a secret room
9786D132;Addams Family, The (USA);POKGTAAA;;;;;0;Start in a secret room
9786D132;Addams Family, The (USA);IOKGTAAE;;;;;0;Start in the bone room
9786D132;Addams Family, The (USA);PXKGTAAA;;;;;0;Start in the freezer
9786D132;Addams Family, The (USA);ZXKGTAAA;;;;;0;Start in the furnace
9786D132;Addams Family, The (USA);AXKGTAAA;;;;;0;Start in Gomez's room
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);ATGKAG;;;;;0;Invincibility
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);SZGKAK;;;;;0;Infinite health
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);AAKGYGPA;;;;;0;Infinite health (alt)
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);ESVONGEY;;;;;0;Enemies can't move horizontally
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);EIEOEIEY;;;;;0;Enemies can't move vertically
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);APKOOIAL;;;;;0;No enemies
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);EIEKYGEY;;;;;0;Sweets count as extra lives also
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);GXOVPYEY;;;;;0;Always able to fly (alt)
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);GXUTKPEY;;;;;0;Invincibility status effect
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);PEVKZTIA;;;;;0;Start with 1 life
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);PEVKZTIE;;;;;0;Start with 9 lives
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);SXUGZKVK;;;;;0;Infinite lives
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);SULGZK;;;;;0;Infinite lives (alt)
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);PENKZTZA;;;;;0;Start with 1 heart
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);GENKZTZA;;;;;0;Start with 4 hearts
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);AASVUGIL;;;;;0;Always able to fly
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);AOVTETAO;;;;;0;Mega-jump
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);;;0435;02;;0;Infinite health (alt 2)
0E2AE6E1;Addams Family, The - Pugsley's Scavenger Hunt (USA);;;0438;09;;0;Infinite lives (alt 2)
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);ATGGNY;;;;;0;Invincibility
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);SZGGNN;;;;;0;Infinite health
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);OTKGSYSV;;;;;0;Infinite health (alt)
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);GPKZGEAZ;;;;;0;Start with less health - bronze dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);AIKZGEAZ;;;;;0;Start with more health - bronze dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);TPKZIEGU;;;;;0;Start with less health - silver dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);AIKZIEGL;;;;;0;Start with more health - silver dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);ZZKZTAAS;;;;;0;Start with less health - gold dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);ITKZTAAI;;;;;0;Start with more health - gold dragon
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);GZKKNNSE;;;;;0;Weapon power doesn't weaken with health
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);TTXGIALT;;;;;0;Gold dragon has excellent armor class
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);YGXKAAPG;;;;;0;Gold dragon flies faster
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);ATXGYAGV;;;;;0;Silver dragon flies faster
667982C1;Advanced Dungeons & Dragons - DragonStrike (USA);YIXGTALI;;;;;0;Bronze dragon flies faster
7FB72A2C;Advanced Dungeons & Dragons - Heroes of the Lance (USA);SUOAZGSP;;;;;0;Infinite HP for party in most battles
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);AOULILAZ;;;;;0;Faster timer when lock-picking
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);ASULILAZ;;;;;0;Slower timer when lock-picking
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);ENULILAZ;;;;;0;Very slow timer when lock-picking
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);SXKUTSVK;;;;;0;Infinite Knock Rings (1 of 2)
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);AEKUISAI;;;;;0;Infinite Knock Rings (2 of 2)
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);IEVANKZA;;;;;0;Start with 50% less gold on a character that you create
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);YEVANKZE;;;;;0;Start with 50% more gold on a character that you create
5DE61639;Advanced Dungeons & Dragons - Hillsfar (USA);GOVANKZA;;;;;0;Start with 100% more gold on a character that you create
9ACDED0E;Advanced Dungeons & Dragons - Pool of Radiance (USA);SOLAUN;;;;;0;Create super characters
9ACDED0E;Advanced Dungeons & Dragons - Pool of Radiance (USA);XGLAUN;;;;;0;Girdle Of Giant strength (Must be used to be effective) (1 of 2)
9ACDED0E;Advanced Dungeons & Dragons - Pool of Radiance (USA);GGLAUP;;;;;0;Girdle Of Giant strength (Must be used to be effective) (2 of 2)
9ACDED0E;Advanced Dungeons & Dragons - Pool of Radiance (USA);TLGAXL;;;;;0;Extra EXP points
9ACDED0E;Advanced Dungeons & Dragons - Pool of Radiance (USA);AXLALN;;;;;0;One hit ends battle with no gold or EXP
06B0556C;Adventure Island 3 (USA);AEVXKGPA;;;;;0;Invincibility
06B0556C;Adventure Island 3 (USA);SXOYOSVK;;;;;0;Infinite health
06B0556C;Adventure Island 3 (USA);SKOYOSVK;;;;;0;Infinite vitality
06B0556C;Adventure Island 3 (USA);SXNLISSE;;;;;0;Infinite lives
06B0556C;Adventure Island 3 (USA);AAEZKLLA;;;;;0;Hit anywhere (1 of 4)
06B0556C;Adventure Island 3 (USA);AVSXKSOL;;;;;0;Hit anywhere (2 of 4)
06B0556C;Adventure Island 3 (USA);OUEXNSOO;;;;;0;Hit anywhere (3 of 4)
06B0556C;Adventure Island 3 (USA);OUEXSVOO;;;;;0;Hit anywhere (4 of 4)
06B0556C;Adventure Island 3 (USA);EYSXZAEI;;;;;0;Hold jump to float
06B0556C;Adventure Island 3 (USA);AEUZNTPA;;;;;0;Don't die when hitting spikes
06B0556C;Adventure Island 3 (USA);SAKZSYVT;;;;;0;Don't lose pet when hitting spikes
06B0556C;Adventure Island 3 (USA);SUEZEXLN;;;;;0;Mega-jumping Master Higgins
06B0556C;Adventure Island 3 (USA);AAKXGTZA;;;;;0;Gain 99 lives after gaining 100 fruit
06B0556C;Adventure Island 3 (USA);GXUUGOSO;;;;;0;Keep items after dying - after 1st stage
06B0556C;Adventure Island 3 (USA);AAEZYIGA;;;;;0;Start a new game to view ending (1 of 2)
06B0556C;Adventure Island 3 (USA);LAEZLSZA;;;;;0;Start a new game to view ending (2 of 2)
06B0556C;Adventure Island 3 (USA);PESZAALA;;;;;0;Start with 2 lives
06B0556C;Adventure Island 3 (USA);TESZAALA;;;;;0;Start with 7 lives
06B0556C;Adventure Island 3 (USA);PESZAALE;;;;;0;Start with 9 lives
06B0556C;Adventure Island 3 (USA);VTVZZESE;;;;;0;Start with 2 Red Taylors
06B0556C;Adventure Island 3 (USA);VTVZIESE;;;;;0;Start with 2 Blue Taylors
06B0556C;Adventure Island 3 (USA);VTVXAESE;;;;;0;Start with 2 Classies
06B0556C;Adventure Island 3 (USA);VTVXLESE;;;;;0;Start with 2 Don-Dons
06B0556C;Adventure Island 3 (USA);VTVXTESE;;;;;0;Start with 2 Poleys
06B0556C;Adventure Island 3 (USA);VTNZPESE;;;;;0;Start with 2 Boomerangs
06B0556C;Adventure Island 3 (USA);VTNZGESE;;;;;0;Start with 2 Axes
06B0556C;Adventure Island 3 (USA);VTNZYESE;;;;;0;Start with 2 invincibility crystals
6FA0E650;Adventure Island II (USA);ENUSOTEI;;;;;0;Invincibility
6FA0E650;Adventure Island II (USA);AVSSVVOZ;;;;;0;Invincibility (alt)
6FA0E650;Adventure Island II (USA);SXNLOKVK;;;;;0;Infinite lives
6FA0E650;Adventure Island II (USA);VTUIGEVK;;;;;0;Infinite health
6FA0E650;Adventure Island II (USA);SZUIGEVK;;;;;0;Infinite health (alt)
6FA0E650;Adventure Island II (USA);AAKSEYZA;;;;;0;Infinite health against hitting objects
6FA0E650;Adventure Island II (USA);PITXUZ;;;;;0;Infinite Axes
6FA0E650;Adventure Island II (USA);NULLEX;;;;;0;Infinite Axes plus get an extra Red Camptosaurus
6FA0E650;Adventure Island II (USA);ESKIEIEL;;;;;0;Hit anywhere (1 of 7)
6FA0E650;Adventure Island II (USA);OLEIKVOO;;;;;0;Hit anywhere (2 of 7)
6FA0E650;Adventure Island II (USA);OLXIOVOO;;;;;0;Hit anywhere (3 of 7)
6FA0E650;Adventure Island II (USA);OUEISVOO;;;;;0;Hit anywhere (4 of 7)
6FA0E650;Adventure Island II (USA);SXUSSIAX;;;;;0;Hit anywhere (5 of 7)
6FA0E650;Adventure Island II (USA);TEUSNSNY;;;;;0;Hit anywhere (6 of 7)
6FA0E650;Adventure Island II (USA);ZEUSVIUG;;;;;0;Hit anywhere (7 of 7)
6FA0E650;Adventure Island II (USA);AAKXINIG;;;;;0;Get fruits from anywhere
6FA0E650;Adventure Island II (USA);SXXLEGSA;;;;;0;Never lose Dinosaur (1 of 3)
6FA0E650;Adventure Island II (USA);SZESEYSA;;;;;0;Never lose Dinosaur (2 of 3)
6FA0E650;Adventure Island II (USA);SZVSVYSA;;;;;0;Never lose Dinosaur (3 of 3)
6FA0E650;Adventure Island II (USA);KOOUZOYS;;;;;0;Multi-jump (hold jump to float) (1 of 2)
6FA0E650;Adventure Island II (USA);UXXLPOYI;;;;;0;Multi-jump (hold jump to float) (2 of 2)
6FA0E650;Adventure Island II (USA);VNXUIZZE;;;;;0;Hold jump to float
6FA0E650;Adventure Island II (USA);AENZTPAZ;;;;;0;Reversible skateboard
6FA0E650;Adventure Island II (USA);ALKXAAAZ;;;;;0;Faster running
6FA0E650;Adventure Island II (USA);SXSUAOSU;;;;;0;Higher jump (1 of 2)
6FA0E650;Adventure Island II (USA);GEXULGPA;;;;;0;Higher jump (2 of 2)
6FA0E650;Adventure Island II (USA);PEXVAALA;;;;;0;Start with 2 lives
6FA0E650;Adventure Island II (USA);TEXVAALA;;;;;0;Start with 7 lives
6FA0E650;Adventure Island II (USA);PEXVAALE;;;;;0;Start with 10 lives
D77B73C8;Adventures in the Magic Kingdom (USA);ATPNTI;;;;;0;Invincibility
D77B73C8;Adventures in the Magic Kingdom (USA);AVXNXPVG;;;;;0;Infinite health
D77B73C8;Adventures in the Magic Kingdom (USA);ATXYKZEL;;;;;0;Infinite time
D77B73C8;Adventures in the Magic Kingdom (USA);SZSTGVVK;;;;;0;Infinite candles
D77B73C8;Adventures in the Magic Kingdom (USA);SXKYUOVK;;;;;0;Infinite lives
D77B73C8;Adventures in the Magic Kingdom (USA);LAKUTGTA;;;;;0;'Life' costs less
D77B73C8;Adventures in the Magic Kingdom (USA);GAKUTGTE;;;;;0;'Life' costs more
D77B73C8;Adventures in the Magic Kingdom (USA);GAKUYKAA;;;;;0;'Freeze' costs less
D77B73C8;Adventures in the Magic Kingdom (USA);YAKUYKAE;;;;;0;'Freeze' costs more
D77B73C8;Adventures in the Magic Kingdom (USA);IASLAKZA;;;;;0;'Invincible' costs less
D77B73C8;Adventures in the Magic Kingdom (USA);GPSLAKZA;;;;;0;'Invincible' costs more
D77B73C8;Adventures in the Magic Kingdom (USA);TASLPKGA;;;;;0;'Life Up' costs less
D77B73C8;Adventures in the Magic Kingdom (USA);APSLPKGE;;;;;0;'Life Up' costs more
D77B73C8;Adventures in the Magic Kingdom (USA);PEVEIALA;;;;;0;Start with 1 life
D77B73C8;Adventures in the Magic Kingdom (USA);TEVEIALA;;;;;0;Start with 6 lives
D77B73C8;Adventures in the Magic Kingdom (USA);PEVEIALE;;;;;0;Start with 9 lives
D77B73C8;Adventures in the Magic Kingdom (USA);SXKYUOVK;;;;;0;Never lose a life in 'attractions'
D77B73C8;Adventures in the Magic Kingdom (USA);NYKULZKU;;;;;0;More 'Freeze' time
D77B73C8;Adventures in the Magic Kingdom (USA);AGKULZKL;;;;;0;Less 'Freeze' time
D77B73C8;Adventures in the Magic Kingdom (USA);EGSUYXGL;;;;;0;More 'Invincible' time
D77B73C8;Adventures in the Magic Kingdom (USA);EYKVNKXN;;;;;0;Mega-jump
D77B73C8;Adventures in the Magic Kingdom (USA);PAVAZPLA;;;;;0;Start with less health in attractions
D77B73C8;Adventures in the Magic Kingdom (USA);IAVAZPLA;;;;;0;Start with more health in attractions
D77B73C8;Adventures in the Magic Kingdom (USA);PAVAZPLE;;;;;0;Start with even more health in attractions
D77B73C8;Adventures in the Magic Kingdom (USA);SXXNXPVG;;;;;0;Almost infinite health in attractions
D77B73C8;Adventures in the Magic Kingdom (USA);GXELLXSN;;;;;0;All items for free (1 of 2)
D77B73C8;Adventures in the Magic Kingdom (USA);AAXUAXGY;;;;;0;All items for free (2 of 2)
CB275051;Adventures of Bayou Billy, The (USA);GZOVLLVG;;;;;0;Infinite lives
CB275051;Adventures of Bayou Billy, The (USA);PEKVIZYA;;;;;0;Infinite health (1 of 2)
CB275051;Adventures of Bayou Billy, The (USA);SXOOUKVK;;;;;0;Infinite health (2 of 2)
